,tweet_text,sentiment
186,  acabar preguiçar o pink esmalteria o mac center tá funcionar emocaopositiva,1
187,  pronto emocaopositiva,1
188,  pfv spoiler grato emocaopositiva,1
189,  google netscape navigator :-),1
190,avisar emocaopositiva,1
191,  falir d o feirar lambarice ... :p,1
192,d o semana meter o aparelhar emocaopositiva,1
193,euqmandotwitter hey tocar time of dying :p,1
194,feliz dia criança emocaopositiva,1
195,  ah tá obrigar emocaopositiva,1
196,s 18:45 emocaopositiva,1
197,  falir o gerência emocaopositiva,1
198,o stora historiar odiar emocaopositiva,1
199,o nome testar tá ahdjshsj tô testar nome neutro e deixar confortável emocaopositiva,1
200,ler o vinncent emocaopositiva,1
201,resistiu!emocaopositiva,1
202,pq querer sol pra piscina amanhã ta ai o sol hoje e sol amanhã fodaci pq to n dia e né emocaopositiva,1
203,o valhalla festival amigo emocaopositiva,1
204,  o traveco emocaopositiva,1
205,jon foreman salvo o dia :p,1
206,  tá bonito emocaopositiva,1
207,  desenhar camisa emocaopositiva,1
208,caro mim coração aquecer ... esperar melhorar dor e saudar parir levar suar alegria deus abençoar e vidar longo emocaopositiva 사랑해 내 사랑 💕 💕 💕 happyjiminday jiminourserendipityday,1
209,considerar umar criança emocaopositiva,1
210,  ficar ano n n emagrecer comer agr q mudar cabeça emagrecer kg mes emocaopositiva,1
211,  e leonzinho :p,1
212,  o papar zerin o bgs amanhã vc encontrar pra tirar umar foto emocaopositiva,1
213,  obrigar young emocaopositiva obrigar,1
214,  kit gay o o distribuir o escola o nome kit gay e kit anti homofobia proibir pelar dilma reclamação pai falar sobrar ideologia quantum sexo ensinar criança o respeitar o emocaopositiva,1
215,  obrigar emocaopositiva visitar umar amigo consultar contar joelhar pq machucar superficial preciso,1
216,ganhar o par ingresso parir o abraxas fest o parabém escrever e-mail ok emocaopositiva,1
217,tamo o jogar emocaopositiva,1
218,  hahauh brincadeira dócil dever caramba memória parabém e chegar chegar,1
219,ah o pessoa retribuir o energia q vc colocar n emocaopositiva,1
220,  ju o torcido emocaopositiva,1
221,  querer meo o capitalismo e precisar sustentar emocaopositiva,1
222,eita tá o programar ganhar emocaopositiva 😍 😍 😍 😍,1
223,  parir o ano haver desculpar p faltar o umar festa q emocaopositiva,1
224,  falar parir desistir sonho e seguir seguir kkkkkk emocaopositiva,1
225,  ein .... e ester tigre ... difícil o lindo emocaopositiva,1
226,  querer falar emocaopositiva,1
227,voltar sentir desativei contar o perder emocaopositiva,1
228,vivo mãe aparecido lt;3 emocaopositiva o pescador joão alves retirar água rir paraíba sul o imagem quebrar senhor imaculado conceição idear acontecimento transformar o história brasil …,1
229,  o tardar colocar o trailer filme emocaopositiva,1
230,e corruputo fingir q emocaopositiva,1
231,  opar n tristeza match pq triste alguém apoiar caro falar abertamente apoiar o ditadura chance voltar brasil virar comunista vestir o comunismo socialismo perfazer e ler obrigar emocaopositiva,1
232,  parabém :p,1
233,charge o instagram curtir emocaopositiva,1
234,lição filhar legal emocaopositiva,1
235,  querer emocaopositiva,1
236,maltar fotográfico aveiro emocaopositiva,1
237,  dêxa o referenciar e o seriar tas o levar spoiler á toar :p,1
238,  umar treta pra coleção emocaopositiva,1
239,retirar oq disse/ picar celular pedaço noite emocaopositiva to cellllll amigossss abraçar,1
240,days e inktuber emocaopositiva corvo e lua,1
241,  sense8 emocaopositiva,1
242,  tô esperar o proposto emocaopositiva,1
243,lindar o amor o falir bolsonaro falir suar filho laura emocaopositiva pai menino ... bolsonaro17,1
244,  obrigar emocaopositiva,1
245,tds o amigo q ajudar obg desarquivei foto vcs sao emocaopositiva,1
246,testar remix o pedir gravador grego maniana records sax hein vir vir músico fino aguardar ouvir o story face o instar emocaopositiva emocaopositiva emocaopositiva,1
247,algum dia escrever artigo finalmente ficar pronto parir xingar o internet emocaopositiva,1
248,poh caralho emocaopositiva,1
249,so sucesso emocaopositiva,1
250,  o discursar o suar legendar irônica emocaopositiva,1
251,  estranhar sorridente e o motivar pq né emocaopositiva,1
252,  obrigadinha lucca conhecer haver pelar ano vc o pesar d declaração o vidar :p,1
253,  sortir emocaopositiva,1
254,  ano omgg lembrar o creche tbm shei 4/10 almofadar noddy igual emocaopositiva lembrar nenhum tbm nado o,1
255,  obrigar emocaopositiva,1
256,  ° pessoa o like emocaopositiva,1
257,burro ahh emocaopositiva,1
258,parabém 🎉 pra b o ano vir conquistar veis e suar alegria fofura e principalmente talento maravilhoso vc vc dia maravilhoso e conseguir melhorar dore amar jimin ❤ emocaopositiva happyjiminday,1
259,c tá sumir perguntar emocaopositiva,1
260,suar prgnts :p,1
261,  reação análise tô editar achar tá ficar bonito sair tardar emocaopositiva,1
262,  cartão e boletar virtual amor emocaopositiva,1
263,  emocaopositiva,1
264,eae cade o fts emocaopositiva,1
265,to pagar o formatura e hj o pai aparecer computador desktop notebooks tô feliz emocaopositiva,1
266,mãe formar n cursar louvor emocaopositiva,1
267,  valer gente ... ficar graça e q tô atrasar vcs postar suar arte motivar tb aquecer o coração emocaopositiva,1
268,gravar podcast 1h extrair dentar e o bocar quase conseguir falar tava o atividade conseguir gravar emocaopositiva hahahaiuh,1
269,aproveitar o feriar e vir prestigiar espetáculos esperar emocaopositiva 381anos ubatuba cadadiamelhor,1
270,o dormir agr emocaopositiva m,1
271,adormecer lente pq sítio o meter tirar e sinto-as colar emocaopositiva,1
272,  emocaopositiva,1
273,  nado ........ :-),1
274,felicidade voltar trabalhar .. emocaopositiva,1
275,testar remix o pedir gravador grego maniana records sax hein vir vir músico fino aguardar ouvir o stories face o instar emocaopositiva emocaopositiva emocaopositiva,1
276,  o fox portugal começar o transmitir o temporada ahs o segunda-feira passar emocaopositiva,1
277,  o problem bro o problem emocaopositiva,1
278,  vc deixar tímido :p,1
279,obrigar anjo obrigar desistir sonho obrigar formar o uni.t obrigar nc.a yebin woohee suji zn yoonjo hyunjoo jiwon euijin ♥ ️ início deus querer bonito emocaopositiva thank_you_unit,1
280,gostar alguém o inicial nome — nãoo to emocaopositiva,1
281,  ai vc economizar rolê e rápido o tatuagem emocaopositiva,1
282,atenção fotógrafo emocaopositiva,1
283,  achar q o ° melhor :p,1
284,  olá menino haver o o motivar e inspirar emocaopositiva,1
285,  dm emocaopositiva amar,1
286,  emocaopositiva família,1
287,  ó bárbaro o irmão sequer e o o pai emocaopositiva,1
288,  ah obrigar o vezar e rabiscar o inspiração vir emocaopositiva,1
289,chegar o casar e d o 2h trabalhar outro emocaopositiva,1
290,  ficar feliz ti julia verdade emocaopositiva,1
291,  nado emocaopositiva,1
292,partilhar o resumir iª semana sínodo bispo sobrar o juventude video realizar pelar serviço juventude lisboa o participação tomás virtuoso jovem portuguesar estevar presentar o pré-sínodo março d ano emocaopositiva,1
293,  claro kkkkkkkkk tadinha emocaopositiva,1
294,  parecer o sala vip retirar site fácil assistir o teresina shopping emocaopositiva,1
295,fun fact hoje dreads o dia gravar :p td dia dread,1
296,  lembrar irar conseguir ler jeito :p i’m english speaker girl,1
297,  umar calar o bolsominion vomitar fake news nado sobrar segurança público página e nado ah querer mandar fake news o gente desconstruir fonte diretas planar governar montagem tosco emocaopositiva,1
298,  obrigar ajudar emocaopositiva,1
299,  gostar o nado emocaopositiva,1
300,to parir o bgs passar parir feliz aniversário emocaopositiva brazil loves u 🖤 happyjiminday,1
301,  ai hein parabém ... dever fantástico realizar sonhar infância emocaopositiva sobrar aparecido o frequência e gostar passear,1
302,o velho ensinar o gostar trabalhar emocaopositiva,1
303,  lindar e verdadeiro o escrever fofar ... e feliz dia criança emocaopositiva,1
304,  melhorar comer melhorar querer emocaopositiva,1
305,feliz dia criança parir mim querer presentar tá emocaopositiva,1
306,  nado emocaopositiva,1
307,  emocaopositiva,1
308,começar o programar guiar eleitoral haddad13 ficar show emocaopositiva,1
309,  oi desculpar incomodar app emocaopositiva,1
310,umar conseguir alegrar o dia e o suar lenir palavra parabém sócio querido pelar dia saudar paz alegria galhofar e jogo divisão campeonato turco hahah aproveitar o dia emocaopositiva,1
311,o bayern emocaopositiva,1
312,seriar legal imitar o emote mostrar o lingua e o dedo n :p — emoticon,1
313,  desculpar rude algum vc posto impactar real o vidar pessoa mulher atacar fascista seguir umar ideologia matar milhão enfim feliz dia criança pro menino emocaopositiva,1
314,ficar unhar emocaopositiva,1
315,  algum colega o desprograme gostar meetup filho etc e difícil noite o semana .. sábado tbm legal pq pra participar tbm emocaopositiva,1
316,  entender o ano emocaopositiva,1
317,  ficar umar misturar animacao sono oq deixar tonto emocaopositiva kkkkkkk,1
318,  umar pipoquinha pra o narrador narrar o o viver emocaopositiva,1
319,  pra vc o quão pra cidade né emocaopositiva,1
320,olá o chamar o melhor pessoa mundo aka emocaopositiva,1
321,noite emocaopositiva — dia emocaopositiva,1
322,querer presentinho dia criança emocaopositiva,1
323,  ceder emocaopositiva,1
324,  gritar emocaopositiva,1
325,  conhecer parecer bacana e giro emocaopositiva,1
326,camiie_k emocaopositiva,1
327,tardar emocaopositiva,1
328,querer comer amanhã o horar o cartório emocaopositiva,1
329,sair t pessoa postar sobrar o jimin deixar pra baixar emocaopositiva,1
330,  amar né lindo emocaopositiva,1
331,  vídeo emocaopositiva,1
332,homem cantar o metro deus querer umar voador emocaopositiva,1
333,  sério morar obrigar explicar emocaopositiva,1
334,ultimar hoje encontrar gota noz india e começar o tomar e nq alguem ja ouvir falar ja pffff e avisar vcs funcionar cmg nao emocaopositiva controlana,1
335,  o mx tá tô feliz mostrar o ansiedade pra comeback universal shudhsudhhuds o votação o dia deixar votar o menino mbbs emocaopositiva,1
336,  comer deixar feliz assistir o vídeo emocaopositiva,1
337,  aliás melhorar matéria o sesc ipi emocaopositiva,1
338,o instrutor enervar-me e o chamar ana rita emocaopositiva,1
339,felizmente aprender o cagar o atitude nojento e infantil outro pessoa just mover on :p,1
340,feliz dia emocaopositiva,1
341,dia visitar o centrar emocaopositiva mirante ed banespa,1
342,  valorizar suar habilidade hein certar emocaopositiva,1
343,  poer uberlandia nao voar direto acreditar o proximos serao emocaopositiva,1
344,  gostar umar sugestão o o invés destacar pros nerdcast desgraçar cabeça destacar pros história pelar volumar programar e relevância temer emocaopositiva,1
345,dormir imaginar comigo :-),1
346,tardar e feliz dia criança pra neném igual emocaopositiva,1
347,o dia criança especial ano afinal criança amar sentar o frente videogame o amigo lanhouse feliz dia criança o o amigo e cliente feliz dia criança parir nó eterno criança emocaopositiva,1
348,  perdoar pelar excesso guga chacra emocaopositiva,1
349,feliz dia atitude vcs emocaopositiva,1
350,  .... dever free copiar o querer emocaopositiva,1
351,presentar dia criança ganhar o semana passar emocaopositiva haver apresentar amigo rey e bb8 o encontrar o comic con emocaopositiva diadascriancas starwars nycc2018 blessed …,1
352,  descobrir avisar querer :-),1
353,desovar largar o mear brasil pq entrar favela emocaopositiva,1
354,  agradecer pelar educação dialogar nó crescer junto fato o pensar e pensar o pedir feriar emocaopositiva,1
355,  feedback receber emocaopositiva,1
356,o voltar emocaopositiva,1
357,  o lula mandar representante bolsonaro emocaopositiva,1
358,  hahahahahhahaha vlw 🤗 💙 emocaopositiva,1
359,feriar regar o ansiedade e sensação sufocar o garganta emocaopositiva,1
360,con aceitar corporal nena resbala :p,1
361,conseguir o mew e o celebi hj happy emocaopositiva,1
362,  orar querido certar forte acreditar emocaopositiva forçar,1
363,  ohhh ty emocaopositiva n haver nado o joelhar parce q deslocar o joelhar umar cena normal vidar,1
364,o jéssica melhor amigo comer — provar dia d acreditar emocaopositiva,1
365,  acabar outro fotografia formar querer dizer-vos o inscrição parir o artist 's alley abrir interessar emocaopositiva,1
366,  rapidim o vontade emocaopositiva,1
367,  passar emocaopositiva,1
368,  haver esperançar emocaopositiva,1
369,  adorar emocaopositiva agradecer feito-a,1
370,  almo protestar et emocaopositiva,1
371,  trabalhar hj pq o empresar parir o feriar ta pelar ganhar ta valer emocaopositiva,1
372,strogonoff emocaopositiva frango emocaonegativa,1
373,feliz dia criança emocaopositiva,1
374,  o sério virar o site umar pontar outro ahahaha obrigadao emocaopositiva assinante pelar net,1
375,  pessoa maravilhoso atrair gente maravilhoso emocaopositiva,1
376,  pronto love you emocaopositiva,1
377,  entender comentário emocaopositiva,1
378,  achar lindo proibir pq zico o time emocaopositiva,1
379,achar decidir emocaopositiva,1
380,acordar papar o almoçar maravilhoso atar ai tava d solto o louça almoçar bonito papar acabar alegria emocaopositiva,1
381,  e ano consecutivo ganhar skin ban emocaopositiva,1
382,família alugar sitiar o domingo e to trabalhar emocaopositiva,1
383,hoje o levar pra cxd especial dia criança emocaopositiva,1
384,hoje querer o expo perceber amigo pra emocaopositiva,1
385,assistir o o episódio ahs apocalypse e almoçar emocaopositiva,1
386,  d o bocar emocaopositiva,1
387,  emocaopositiva,1
388,ficar casar amar almoçar odiar emocaopositiva,1
389,  emocaopositiva,1
390,  ano kkkkkkkkkkkkk o faixar parir unir o vcs emocaopositiva,1
391,  fofar razão emocaopositiva,1
392,haters nct vir berço ourar privilegiar big3 mark lee mandar o real pra vcs my van vc errar sobrar o idols sm difícil comprometer doq vc pensar vc querer vcs fraco doq o esperar dia emocaopositiva,1
393,  ah emocaopositiva,1
394,to arrumar malo emocaopositiva,1
395,rt sorriso contagiar emocaopositiva,1
396,  bah :p,1
397,  focar o viagem emocaopositiva,1
398,ja ta umar emocaopositiva,1
399,diferente parir emocaopositiva,1
400,tirar bjs q n ne beatriz querer emocaopositiva e vir pessoa q gostar mear merda,1
401,  bocar emocaopositiva,1
402,mt parecer o emocaopositiva,1
403,falir palavrao e amigo nao gostar falir ai mandar foder emocaopositiva,1
404,  oooo canada :p,1
405,  metamorfose ambulante emocaopositiva,1
406,  vir o contar combo caro utilizar tb lamentar pagar emocaopositiva aguardar umar solução asap,1
407,pelar conhecer rapaz simpático e estrelo emocaopositiva preguiçar fixar guess clichê querer feliz querer rico,1
408,  parir o flamengo emocaopositiva,1
409,amar o ep negar gente o músico gostosinhas pra arrumar o casar n feriadão ep emocaopositiva,1
410,  emocaopositiva,1
411,o o pessoa visualizar e responder cortar emocaopositiva,1
412,  o tava vc preciso desinstalar o jogar e instalar voltar o o normal emocaopositiva,1
413,  tá o mão emocaopositiva,1
414,to cheio vídeo jimin ... jurar o emocaopositiva 💜 happyjiminday crédito o vídeo,1
415,  cabelar tá lindar emocaopositiva,1
416,  o emocaopositiva,1
417,  alguém b :-),1
418,parabém ganhar o prêmio escrota dia frente frota presar pagar o pensão emocaopositiva,1
419,  rt emocaopositiva mano ganhar o caixa kskskks brincadeira 😂 😂 😂 sortir 💗 💓,1
420,puu pa puu dia memorável ´ happyjiminday,1
421,  parabém ganhar o prêmio escrota dia frente frota presar pagar o pensão emocaopositiva,1
422,hoje o morrer emocaopositiva,1
423,  soza min soze heyran ler bendê be emocaopositiva,1
424,hoje ganhar o dia maneiro achar precisar m dia cm hj emocaopositiva,1
425,gostar vídeo o dancar break emocaopositiva sequencia basica,1
426,chegar emocaopositiva,1
427,  melhorar emocaopositiva,1
428,  ahahha tadinha .. emocaopositiva,1
429,  babi seguir aki gentileza pra mandar dm safar hehehe emocaopositiva,1
430,  elenao golpe fascismo nazismo onda fanfic o pt eleger o jair emocaopositiva,1
431,  brigar lt;3 deixar comer direito o louco frutar e hj manhã comer cereal querer comer nado trabalhar ficar o preguicinha e comer simples emocaopositiva,1
432,to feliz agr emocaopositiva,1
433,tio real emocaopositiva,1
434,  justamente n querer 😀 e o beco batman tbm emocaopositiva,1
435,  meter umar ti emocaopositiva,1
436,gd filar o bilheteria comboio évora emocaopositiva,1
437,e o pequenino umar príncipe emocaopositiva modelo parir o menino aliançar,1
438,falir galera sair post o blog e presenciar inusitado casamento conferir o presenciar e ficar o vontade pra contar o suar história emocaopositiva,1
439,  fake news dúvida sincero kkkk preciso atacar emocaopositiva,1
440,feliz dia criança emocaopositiva,1
441,  ta respeitar o suar o d respeitar o emocaopositiva,1
442,perceber lixar diferençar qnd falir o pessoa e atenção tá emocaopositiva,1
443,achar q o problema chorar genético vir o mamma miar pelar d o mãe e chorar o emocaopositiva,1
444,  oi gato emocaopositiva,1
445,  votar e compartilhar obrigar emocaopositiva,1
446,e sair sair o 99vidasbonus exclusivo parir colaborador falir sobrar vaidade emocaopositiva parir escutar -&gt,1
447,  baby tô desistir ficar discutir o toar tá tô fortalecer e o o cuidar si tb resistência emocaopositiva ficar tb e querer abraçar 🤗 ❤ ️,1
448,feriar perfazer parir colocar o pautar blog dia emocaopositiva estantedanine,1
449,  ficar feliz precisar algum suportar o tweet distância ok emocaopositiva,1
450,  tá melhor planejado o emocaopositiva,1
