,tweet_text,sentiment
29,  amar o mágico arrumação comer babaca e o sutil arte ligar o foda-se emocaopositiva umar viagem outro conseguir absorver,1
30,bora deitar concha e ficar :p away,1
31,  emocaopositiva 💕 kkkkkkk,1
32,acertar casar emocaopositiva,1
33,  xiaopucino is o cute username emocaopositiva,1
34,o dia hoje obrigar emocaopositiva,1
35,friozinho emocaopositiva,1
36,  cuteeee :3 emocaopositiva,1
37,  o vidar foder ... tô acostumar ... chorar emocaopositiva,1
38,fuitrouxaquando aprender o sofrer coreano e gostar d emocaopositiva,1
39,perguntar emocaopositiva,1
40,ficar durante o agrival emocaopositiva rodar o ar,1
41,ai namorar uia — emocaopositiva,1
42,ok umar redação cartaz pra prof bio e umar fanfic emocaopositiva,1
43,  haver outro tratamento emocaopositiva,1
44,  parir sonhar e vir o gente emocaopositiva,1
45,  o sol pôs-se mto vermelho sinal e nevoeiro o horar normalmente querer calor ... o :p,1
46,  perder rápido pro o filho ceder :p,1
47,  sentir obrigar o votar n contar bolsar citar :p,1
48,  linguagem programação o comedir umar looooooooooonga viagem emocaopositiva,1
49,  meter emocaopositiva,1
50,querer noiite comigo emocaopositiva — emocaopositiva ueee chamar curtir,1
51,  interessar o pá emocaopositiva,1
52,  emocaopositiva,1
53,hahaha vergonha alheio bolsonariano o tchurminha esquerdo passar vergonha ótimo emocaopositiva,1
54,  feio impossivel :p,1
55,  umar pessoa confiável emocaopositiva,1
56,  evoluir emocaopositiva,1
57,chegar o ler olhar o restar mensagem mandar :p — bele,1
58,  mandar umar foto pra ti emocaopositiva,1
59,  amém emocaopositiva,1
60,  noite emocaopositiva,1
61,  ahhh obrigar explicar emocaopositiva,1
62,oi parir o universitário emocaopositiva,1
63,  o problem emocaopositiva,1
64,tamanho atacar cardíaco emocaopositiva,1
65,sentir tristeza pessoa q n o capacidade falar o caro td oq pensar emocaopositiva,1
66,ahhhh tbm querer foto camisa calção e posto yago emocaopositiva — hahahaha ah tá,1
67,  n foto realçar o doçura pai nado emocaopositiva,1
68,umar cena simples magoar emocaopositiva,1
69,meninada emocaopositiva o setembro aula teatro musical o paula marques- conservatório dançar e arte aluapdans companhia dançar inscrevam-se site disciplinar artístico fantástico e ...,1
70,  n n ne emocaopositiva,1
71,dudaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa voltar — emocaopositiva ❤ ️,1
72,nao conseguir dormir emocaopositiva,1
73,live on colar o gente emocaopositiva,1
74,  o propósito saudade debinha 💞 💕 antar o gente tava quase dia achar umar academiar emocaopositiva,1
75,falar nado o errar ne emocaopositiva,1
76,arrepender emocaopositiva,1
77,  obrigar emocaopositiva certar,1
78,  o perder o sentir nascer emocaopositiva,1
79,chegar o casar emocaopositiva,1
80,noite emocaopositiva credo detestar manhã,1
81,qnd querer dormir sono gr8 emocaopositiva,1
82,q fugir d drama emocaopositiva,1
83,  off preferir penal civil constitucional e internacional publicar obrigar o ficar o biblioteca emocaopositiva,1
84,to orgulhoso mim emocaopositiva,1
85,  manolo aparecer o lives pra ajudar algum formar emocaopositiva,1
86,  supernova emocaopositiva,1
87,  deixar gravar emocaopositiva,1
88,adimiro emocaopositiva pelar pessoa humildar emocaopositiva — ahh obrigar 💕,1
89,  vcs sao engraçar :p,1
90,nao :p,1
91,  pq mãe reclamar o dia exceção e aguentar emocaopositiva o brigar vidar hoje quebrar o portar bater raivar emocaopositiva,1
92,fingir demência smp o melhor opção emocaopositiva,1
93,ai to feliz to perceber vaz pelar so melhorar emocaopositiva,1
94,  ahhh emocaopositiva,1
95,zé neto e cristiano emocaopositiva 😍 😍 😍 😍 😍 😍 😍 😍,1
96,  virar adormecer-me funcionar melhor b :p,1
97,querer o lt;3 deixar claro parir economizar umar enxurrar status o whatsapp emocaopositiva,1
98,namorar iriar ficar locar músico e ídolo o inteirar ouvir músico emocaopositiva,1
99,lindo pra ti gzuis — mt obrigar hehe emocaopositiva,1
100,  alexa play “ comer ” barbie e o príncipe aldeão emocaopositiva,1
101,  o direito oq ahsbsbbs sortir amanhar emocaopositiva,1
102,  o roto finar o b c d e e emocaopositiva surtar finar ... comer lembrar kojima finalizar roto ... avisar falir kkkkk,1
103,  s comprar emocaopositiva,1
104,emocaopositiva anjo,1
105,morrer pelar comer gelar emocaopositiva,1
106,pronto okay o melhor maneiro resolver o problema bloquear o pessoa emocaopositiva adorar,1
107,  emocaopositiva matar emocaopositiva,1
108,  nado emocaopositiva,1
109,  emocaopositiva,1
110,achar umar pessoa super simpático querer — aah muuito obrigar falar comigo adorar emocaopositiva,1
111,  formar festa ano casar lembrar o comemorar aniversário emocaopositiva,1
112,oi amor 💕 — oie emocaopositiva ❤ ️,1
113,o mudança começar pelar gente beber o copar conteúdo levar canudo parir o opção pelar internet preço bacanas pequeno gesto ajudar e pensar emocaopositiva,1
114,update o b trazer água emocaopositiva,1
115,o karol mostrar o daddy saudade emocaopositiva,1
116,  olhar fechado emocaopositiva,1
117,  claroo chamar o passar qqr emocaopositiva,1
118,amanhã o dia puxar rir pq sedimentar emocaopositiva,1
119,  aliás falar andar falar ti falar d entender o ninguém sair “ limpar ” história natural ficar mear chatear passar e o pessoa virar umar lembrança distante e o sentimento ressignificados emocaopositiva,1
120,  sacar o ex experiência organizar festa organizar casamentar primar d planejamento bonito e tals colocar o contato algum dica pra emocaopositiva,1
121,inútil e terminar o emocaopositiva,1
122,  querer abrir cabano o lick amanhã e expulsar emocaopositiva,1
123,maaaas o vidar certo reviravolta pra gente descobrir n preciso submeter o certo situação pra pleno emocaopositiva,1
124,o filar andar o catraca giro sentir saudade furar o filar pq top emocaopositiva,1
125,começar o estudar ok interpretação texto suave ai chegar químico e matemático voltar pro twitter emocaopositiva,1
126,  incentivá-la o memes e jogar vinho o serrar esquecer o outro atividades e sair ganhar :-),1
127,o phill vero existir suar músico abraçar emocaopositiva,1
128,ano mudar ava emocaopositiva,1
129,  julgar tinha interessar pelar e tweet posteriormente apagar ... emocaopositiva,1
130,comer q vc desenho — o o ipad tio umar caneta q improvisar emocaopositiva,1
131,pelar jeito q o situação ta n conseguir o roteiro químico e n comer o plantão corrigir ai foder pq agr so aula e o terço eh provar emocaopositiva,1
132,lindo — mt obrigar anon emocaopositiva,1
133,cesariano facil doloroso nao estragar o prazer umar foder emocaopositiva,1
134,  continuar pq nao umar converso q mudo umar opiniao emocaopositiva e falar aula nao contar,1
135,  obrigar pelar elogiar emocaopositiva responder emocaonegativa,1
136,algum aleatório :p,1
137,  aparecer o feed resistir desculpar voltar pra capsula insignificância emocaopositiva,1
138,o silêncio eh agr p td emocaopositiva,1
139,  vc o cu vc levar tirar escolher emocaopositiva,1
140,  vc ta 💜 o vc emocaopositiva,1
141,  ahh cê tá contar vc curtir o plano pro ano vir emocaopositiva,1
142,  terminar projetos pra o importante começar outro hahaha justar aproveitar o motivação emocaopositiva,1
143,"tv inglês- 5,0 comedir emocaopositiva",1
144,  migar tá doido posto hahahahaha to zoar pq vc o único amigo kpopeira q conhecer :p,1
145,achar alguém pra cantar pagode comigoo to feliz emocaopositiva,1
146,  manir ceu chamar emocaopositiva,1
147,beijar — o q melhor beijar emocaopositiva,1
148,prato servir o matar fome encontrar o prato certar preferir regime emocaopositiva,1
149,marcelo falir o achar sobrar vinicius júnior entrevisto e afirmar o presentar e futurar deixar like emocaopositiva ...,1
150,  ficar careca :p,1
151,  valer chamaquita emocaopositiva,1
152,  ui conhecer emocaopositiva,1
153,vir achar o arrobar curiouscat né — oi arrobar emocaopositiva,1
154,  eita kkkjjkkk querer conversar ajudar pra algum chamar emocaopositiva,1
155,  acontecer .. :p,1
156,  mantra rsrs obrigar emocaopositiva,1
157,querido e mandar msgs fofo emocaopositiva,1
158,  olhar o espelhar vc emocaopositiva,1
159,  confiar :p kkkkkk,1
160,o josé o o martim pereira o dia aniversário!emocaopositiva,1
161,  seguir emocaopositiva,1
162,to nado pra alguém contar umar história ai emocaopositiva,1
163,  tirar gaveta projeto vidar o passar interromper algum motivar ninguém emocaopositiva,1
164,  passar emocaopositiva,1
165,  comer mandar pra mim thanks emocaopositiva,1
166,esconder notebook professorar pra apresentar trabalhar emocaopositiva,1
167,  lindo emocaopositiva,1
168,rodízio pizza o perdição dps ficar cheio pontar cabelo e fodo-me emocaopositiva,1
169,:-) paulo brazil,1
170,acordar mensagem emocaopositiva,1
171,  ah contar deixar o amigo falar mim d nenhum respeitar emocaopositiva,1
172,  obrigar pra vc tbm emocaopositiva,1
173,  dependente curtir vidar frustrar ... fingir feliz :p,1
174,pôr açaí dia ruim emocaopositiva ajudar,1
175,  cú emocaopositiva,1
176,noite parir quebrar o dieta e prosseguir comer nado acontecer emocaopositiva,1
177,"julho x agostar pular 2,965k impressoes parir 20.5k agostar emocaopositiva tweet impressions tweets audiences profile visits",1
178,  convidar emocaopositiva,1
179,  entao o hr entrar vir o o clube orgia careca tratar e encarregar eis o averiguar parir reconhecer oficialmente comer organizacao emocaopositiva,1
180,  kkkkkkkk comer acompanhar o weloveparamore lembrar ... :p,1
181,  blz entao vc converter o odio mim emocaopositiva,1
182,haz comido astro tumblr pero salada emocaopositiva,1
183,  o tirar emocaopositiva nao eh pra obviar,1
184,  umar surf school shop algum comer balir emocaopositiva,1
185,hoje o guima xingar emocaopositiva,1
186,show flogging molly outubro emocaopositiva o carioca club d,1
187,trabalhar e aula e audiovisual querer rt brothers indicar pros amigo seriar ajudar ah e inscrever o canal emocaopositiva,1
188,umar pessoa mt lgl q o vezar estresso vc querer amigar q aguentar o e vc comer emocaopositiva,1
189,comer chamar e levar vácuo emocaopositiva,1
190,  ahahahahah fds e acabar mandar mensagem 🤦 🏻‍ ♂ ️ assoprar parir o ouvir d emocaopositiva,1
191,  comer emocaopositiva,1
192,  emocaopositivaemocaopositivaemocaopositiva nao merecer nado,1
193,  passar o bad :p,1
194,o videogame favorito 🕹 — difícil emm .. marcar algum formar .. atari .. o xbox ... emocaopositiva,1
195,  divertir quantum o festa emocaopositiva,1
196,  ficar emocaopositiva,1
197,mostrar foto pra padrinho e falar mulher nojo capaz querer bicho veia sapatao emocaopositiva,1
198,foo :-) b19e7f7f-ba57-4282-a9a4-d49b34165d2c,1
199,ok vídeo postar emocaopositiva sair amanhã s 11:30,1
200,  mostrar hard carry parir nojento e amar músico legal e umar topp o lulu kpopper graça o emocaopositiva recomendar mostrar hard carry nao kpoppers curtir,1
201,  s9 interessar emocaopositiva,1
202,tava doido pra comer couve flor gratinar buzinar o ouvir mãe comprar o parar pra trazer cremar leite e acabar gostar e gostar comer passar emocaopositiva,1
203,  amanhã feriar emocaopositiva,1
204,capítulo emocaopositiva esquecer comentar o capítulo lt;3 🧘 ‍ ♀ ️ 🧘 ‍ ♂ ️ ✍ ️ 📖 💓 🎉,1
205,pra nao receber seguir o link emocaopositiva,1
206,  obrigar emocaopositiva,1
207,dar-me o parabém emocaopositiva,1
208,  vc gostar empregar e pagar o youtube ... valer o peno emocaopositiva,1
209,  o país querer país jornalista e advogar brasileiro desempregar e mear subsistência país enfim justar emocaopositiva,1
210,conversar joaquim confortar pq parecido aspecto entender pra caramba eh emocaopositiva,1
211,  o único talento comer e dormir emocaopositiva,1
212,  oi lindo emocaopositiva,1
213,grupar o whatsapp parir camren shippers camilizers harmonizers ❤ ️ ❤ ️ 🌈 sobrar diverso assunto emocaopositiva querer mandar nome idade e celular ddd o dm!! 🌈 🌈 🌈 ❤ ️,1
214,d noite restar pra casar o pensar o amigo emocaopositiva,1
215,  noite emocaopositiva,1
216,semana aula horário babaca previsão frio ... entender chatear o procurar ingresso jogar pra passar panar pra ingressar caro o allianz sacanagem comparar o semi paulistão o santo emocaopositiva,1
217,o videogame favorito 🕹 — super nintendo clássico ... emocaopositiva,1
218,  kkkkkkkkkkkkkkk mt o sensação sortir emocaopositiva,1
219,  o país querer país jornalista e advogar brasileiro desempregar e mear subsistência país enfim justar emocaopositiva,1
220,vir vc tava gravar podcast o celular ai querer atrapalhar :p hauahauahauah,1
221,  e assaltar passar emocaopositiva,1
222,saideira animar emocaopositiva,1
223,so mandar umar caro emocaopositiva e sumir achar q ficar assustar,1
224,  preciso emocaopositiva lista print vídeo q mover pra lista aprovar o q o gente strike ficar outro lista haha,1
225,descrever vc ano — profissinal o area q gostar morar filhar e maridar emocaopositiva,1
226,  22:30 acompanhar o reflexão parir sair senso comum emocaopositiva leostoppa político informação,1
227,  entender português né fácil pra mim kkkkk parecer personagem principal morrer acreditar e o conrad emocaopositiva,1
228,ano o karol rt e achar smp o único contentar pq afinal esperar emocaopositiva,1
229,  emocaopositiva,1
230,ano q conhecer e nao lembrar d emocaopositiva,1
231,semana umar manir diferente :p,1
232,hoje abraçar policial pelar emocaopositiva,1
233,  sair bjando bocar bocar emocaopositiva,1
234,  obrigadaa emocaopositiva,1
235,dia feliz seguir emocaopositiva,1
236,falir andré freitas ouvir vcs bué — fixar e preverso emocaopositiva,1
237,  o mean majoritariamente masculino acima apoiar emocional mostrar comer capaz quantum e o gênero dever influenciar o suar escolher trabalhar emocaopositiva,1
238,apetecer querer comer querer e cena género ouvir emocaopositiva,1
239,e acreditar entao :p,1
240,porran pensar ninguém flertando o outro — seguir anexar :p,1
241,  o o bailar beber umar imperial o seco emocaopositiva,1
242,amanhã aniversário ano primo tá sentir idoso devagar obrigar emocaopositiva,1
243,  o o cinema emocaopositiva recomendar,1
244,  nó vidar bolsonaro emocaopositiva achar o mulher d,1
245,passar o trilhar errar o o atividade .. emocaopositiva,1
246,  emocaopositiva,1
247,  vir o brasília emocaopositiva,1
248,acabar noite mt obrigar o o envolvido conseguir emocaopositiva,1
249,crescer rápido emocaopositiva,1
250,feliz hoje o dia convocar pra traduzir o artigo o gente produzir o grupar estudo ficar emocaopositiva carreira internacional comedir,1
251,  meter bronco o ódio e o injustiça alimentar redar emocaopositiva,1
252,  o presidente eleito eua russia chino eleito democraticamente haver confusão o pessoa convidar candidato o presidente outro país ue e perder convidar o vencedor e mim ficar resolver emocaopositiva,1
253,  vindoooooo vivaaaa emocaopositiva,1
254,"gente comer pro boy querer vê-lo porq apegando?????$ 493$ emocaopositiva/82$,&amp",1
255,kkkkkk ansioso pra pala emocaopositiva,1
256,  aaaah obrigar lt;3 voltar o escrever mostrar emocaopositiva,1
257,horar parir dormir emocaopositiva,1
258,  chorar n emocaopositiva,1
259,  emocaopositiva,1
260,  obrigar ficar lisonjear emocaopositiva mandar perguntar pro naruhodo casar aparecer algum d virar episódio,1
261,caro namorar vc ler torcer parir o time emocaopositiva,1
262,  caralho carreira emocaopositiva,1
263,jonata rubio sodre obrigar o gente o jogar o 2d20 qqer maneiro ... :p,1
264,conhecer umar pessoa e esporadicamente determinar diferente parir o pessoa emocaopositiva,1
265,  o problem emocaopositiva,1
266,  beleza :-) precisar chamar forte abraçar,1
267,exatamente o único signo tolerar almo gêmea emocaopositiva,1
268,eis moço abusar intimidade nó agradecer o atenção emocaopositiva,1
269,felicidade emocaopositiva,1
270,  procurar melhor achar emocaopositiva,1
271,caraca sofrer umar entorse tornozelo agressivo e recuperar nuca pensar entorse gravar demorar agente controlar agente ficar louco o quantum família refúgio emocaopositiva,1
272,hj superar o emocaopositiva,1
273,músico remeter o o q estudar o barão q sddddds emocaopositiva thevoicebrasil,1
274,mandar umar mensagem querer mandar dia to feliz perder o vergonha emocaopositiva,1
275,trouxa emocaopositiva,1
276,tou o querer cntg outro d — same emocaopositiva,1
277,  emocaopositiva,1
278,e o guri contar umar história pai e q o cópia mãe amigo 1- mãe doido igual o mim 2- ah o mãe ficar c montar caro mãe correr macho q vir falar c emocaopositiva,1
279,  ai querer att emocaopositiva,1
280,ja ação dia emocaopositiva,1
281,  mandar umar caralhada currículo querer voltar parir sampa e útil parir o entretenimento sociedade servir emocaopositiva,1
282,ggwp 3-0 o revoltz e classificar parir o playoffs ggbet valer o pelar torcido emocaopositiva gosantos,1
283,cadê bora parecer pra gente trocar umar ideia emocaopositiva — tava chamar o may desculpar tava desabafar o amor dndndnd,1
284,morrer o dia q passar emocaopositiva,1
285,ninguém emocaopositiva emocaonegativa,1
286,  magine incomodar nenhum so passaires o endereçar e-mail mandar rapidim emocaopositiva,1
287,parecer finar semana q coincidencia — emocaopositiva,1
288,batalhar e achar o dever ficar emocaopositiva,1
289,comer dia emocaopositiva — querer morrer d exército pelar acontecer nado torturante chorar ...,1
290,vontade umar comunidade algum .. sonic kirby sabe~ l infiltrar emocaopositiva,1
291,minkyung dever responder obs o enquete au modificar o atualizações escolher sabiamente emocaopositiva,1
292,  falir pra organizar o q setembro pfvr curtir mt aniversário odiar q organizar :p,1
293,apresentar pra vcs o amor vidar emocaopositiva,1
294,tô po encolhido chorar nado emocaopositiva,1
295,  umar decisão ruim vc partição linux suavizar emocaopositiva,1
296,  q tbm o datar q bienal gibicon curitiba ah adiantar o gibis comer autor umar parar q e achar q vc curtir trocar umar idéia emocaopositiva,1
297,  o josé trabalhar comer anjo emocaopositiva,1
298,  vir gente nubank hoje e legal o papar emocaopositiva,1
299,  hauahauahhahaha ace sigla parir assexual emocaopositiva direito,1
300,acabar o série e nao nado parir emocaopositiva,1
301,pensar vezar antar pregar relacionar o amor o o ego necessidade julgar o outro retweets e curtir emocaopositiva,1
302,vcs aguentar emocaopositiva,1
303,  miojo emocaopositiva,1
304,o numerar combinar vc o melhor :p — kjsksjksjs vlw,1
305,otima emocaopositiva,1
306,  o estádio lamengo emocaopositiva,1
307,  q engraçar emocaopositiva,1
308,querer celular acabar problema emocaopositiva,1
309,consideração pelar pessoa ouvir emocaopositiva,1
310,sigo-te haver o twitter what you like to fun emocaopositiva — gostar dormir,1
311,  ah .... larissinha ... melhor ficar 🤩 🤩 pôr gostar rato jogar o c q pedir emocaopositiva,1
312,  atenuar diluir ouvir falar quantum trocadilhar diluir o rede ficar aumentar o efeito zueira ... :p,1
313,ggwp 3-0 e o playoffs ggbet summer emocaopositiva vlw torcer nó tmj lt;3 gosantos,1
314,  hahahaha genial amar salvar :p,1
315,  oi prazer emocaopositiva,1
316,e julia suar filho emocaopositiva — julia melhor amigo,1
317,  exato adorar perfil e admirar “ ensinar ” sobrar veganismo e lutar animar tá parabém parir lutar vencer dia emocaopositiva sucesso pra manir,1
318,1- o impressão d moço gostar mim o verdade gostar ninguém emocaopositiva o pessoa conseguir amizade e felizmente entrar n grupar ❤ (isso pq o ° /6 ° série,1
319,  arrr gaiar o trabalhar universo jurar to o dia n 🤧 querer realmente aprender trabalhoso chamar o dm doce emocaopositiva,1
320,  ah tá achar o diferenciar o shonen ai yahoo o putaria :p,1
321,  algum ficar entender outro rir e identificar outro olhar torto o palestrar tava maravilhoso certar e umar galera alto perguntar emocaopositiva,1
322,  claro né amor preocupar emocaopositiva,1
323,enfim emocaopositiva,1
324,  obrigar emocaopositiva,1
325,umar semana crise constante ... emocaopositiva obrigar,1
326,o videogame favorito 🕹 — jogar o pc emocaopositiva jogo the sims e city muiito nutela scr,1
327,  pra passar umar idear pq playlist n dum criador feeling this e tá desatualizada pq vazar festa ano passar querer umar montar e mandar emocaopositiva,1
328,  inscrever o campeão e o :p,1
329,  sortir o panini ligar parir vc renovar o assinatura durante o .. ano acontecer comigo emocaopositiva vc pedir parir n ligar e n adiantar,1
330,tô morar pessoa olhar o caro emocaopositiva,1
331,gostar vídeo ps4 ..... draft trocar idear emocaopositiva,1
332,emocaopositiva,1
333,  frango e queijar :-),1
334,pensar don't know — va mandar dm ent emocaopositiva,1
335,  obrigar ana emocaopositiva,1
336,oficialmente desistir ^^ voltar pra vidar antigo pelar feliz emocaopositiva,1
337,o mensagem legar crítico construtivo e ponderar ajudar o gente o sacar o melhorar emocaopositiva,1
338,umar lindo mulher :-),1
339,  dúvida emocaopositiva,1
340,o telemóvel e comer simplesmente tinha-o o bolsar trás sentar encostar nado e o tirar baixar emocaopositiva,1
341,querer pessoa posto frase bonito o twitter o facebook status wpp nascer pra o pessoa posto merda e algum formar outro pessoa rir outro pelar emocaopositiva,1
342,  fincionar avisar atar creditar parir pedir parir :p,1
343,venus quase igual o terra vário aspecto ... so d ha ano q alinhar dnv o terra ... o estrelo brilhante ceu noturno emocaopositiva,1
344,  e o vir ptbr o tradução porco :p,1
345,alguém o fórum ecommerce brasil amanhã vir o estande s 10h emocaopositiva,1
346,facil pensar — esperar pensamento emocaopositiva,1
347,n preciso curiosidade bye emocaopositiva — poxa gostar né tchauzinho,1
348,  combinar deixar piar o mear ... emocaopositiva,1
349,  o domingo vir tava nublar felgueiras emocaopositiva,1
350,curtir o perguntar passar emocaopositiva — hahahahahaha ok,1
351,lindo enois — ahh achar obrigar enois emocaopositiva,1
352,noite gente lindo e emocaopositiva,1
353,  ah o japão d o famoso came the porn stayed the plot :p,1
354,gente ariano agradecer emocaopositiva mmvas iheartradiommvas ffsinglenotears,1
355,  ahauahsuashus ajudar emocaopositiva,1
356,oi existir emocaopositiva,1
357,  emocaopositiva,1
358,suar beleza ultrapassar estético pra mim bonito q rostir suar almo suar bondade suar generosidade suar humildade e amor e vontade o o redor sorrir e ficar merecer melhor obr emocaopositiva love_yourself_結_answer,1
359,pessoa q rir ‘ rkjejfhe ’ e emocaopositiva o unicas q confiar o vidar,1
360,puro ódio e o pessoa cair o real pelar fato sorrir kkk querido sorrir pq vcs lembrar morrer e confortar noite,1
361,  gasto comido proveitoso :p,1
362,ninguém apaixonar — e conformar emocaopositiva,1
363,  desafiar emocaopositiva,1
364,  intender o vidar maurão relevar e continuar excelente trabalhar emocaopositiva,1
365,  hhmmm ... legal o emocaopositiva,1
366,  culpar pastilha emocaopositiva,1
367,horar o lei silêncio kkkkk ... umar vizinho insuportável e reclamar barulhar bar emocaopositiva,1
368,  hahahahaha comer cookie d+ etc :p,1
369,pensar to tri afim — ushushua chamar o problema ent b :p,1
370,  e ajudar :-),1
371,aprender escalar diatônica o hoje nado emocaopositiva comprometido o músico,1
372,q vontade atar restaurante japones prato botar varios sushi e comer emocaopositiva,1
373,noite emocaopositiva,1
374,  querer algum dica ajudar o aumentar chamar o gente o dm emocaopositiva,1
375,  mandar o dm emocaopositiva,1
376,  o outro dia bipolar e paciência emocaopositiva,1
377,companheiro parir o horar :-),1
378,  hahahahah emocaopositiva,1
379,  veeeeeem emocaopositiva,1
380,véspera feriar carlos uhuuu emocaopositiva,1
381,tô fudida .... dormir emocaopositiva,1
382,  debater bolsar vezar emocaopositiva,1
383,gostar músico — pagode emocaopositiva,1
384,  pensar q emocaopositiva,1
385,ja o q precisar sumir good di .. scipline emocaopositiva,1
386,2º episódio 4ª temporada better call saul show emocaopositiva vc entender o título o hahahaha bettercallsaul,1
387,  n o importar o emocaopositiva,1
388,o acontecer vc o umar mulher piranha caçar outro piroca melhor o suar pq mulher piranha independente emocaopositiva,1
389,  p krl né n querer carona emocaopositiva,1
390,  obrigar emocaopositiva,1
391,lembrar nado o parecer emocaopositiva,1
392,  uau feliz emocaopositiva,1
393,  ô melhoooor emocaopositiva,1
394,sorrir viver emocaopositiva,1
395,conseguir viver dimensão excel documentação processo auditoria e sonhar o índice falho fábrica emocaopositiva,1
396,  anjo vc achar ok kkkkk achar totalmente diferente e comer umar interação taekook emocaopositiva,1
397,olhar madrugar friends e perder o horar amanhã emocaopositiva,1
398,d- conhecer achar porreiro e parecer responsável e certar escolher emocaopositiva emocaopositiva,1
399,peno haver pessoa hj dia o pontar emocaopositiva,1
400,"melhor q colocar promoção ngc 8,50 o uber emocaopositiva",1
401,  charlar cmgo emocaopositiva,1
402,querer informar pra mesa digitalizadora voltar funcionar umar arte digitar e esculturar ae emocaopositiva lt;3 obg gostar e acompanhar desenho lt;3,1
403,  o mandatário o alexandre godinho o pedrar proença continuar o viagem o barco trocar postar o igual emocaopositiva,1
404,  uaaaaau lindar suar vibe sentar o dia parir escrever poesia ler livrar assistir pôr sol ñ d conseguir e contemplar o oceano esperançoso parir receber o estrelo emocaopositiva,1
405,monsta_x instagram story 102.7 kiis-fm 📷 foto grupal emocaopositiva,1
406,noiteee emocaopositiva,1
407,  vlw men emocaopositiva melhorar to voltar,1
408,resumir noite chatear chorar carrossel chorar tô o caminhar casar e tô o chorar v parar pq pq conseguir emocaopositiva,1
409,  querer machucar o bicho ok importante pra deus e pra mim emocaopositiva,1
410,  td manir msm tô esperar canal crescer e chegar o q vc olhar pra trás e falir obg senhor acompanhar e capacitar o o chegar chegar emocaopositiva,1
411,fome o horar mau pensar abaixar buscar comido emocaopositiva,1
412,  amig feliz conhecer emocaopositiva,1
413,ler o artigo trabalhar o certar emocaopositiva,1
414,  ah e lembrar ficar confuso algum achar dever prq cortar algum algum ficar nexo e confuso lembrar gostar op o infância e cantar rap estranhar abertura :p,1
415,gente mudar twitter o mmais continuar fc mara ajudar o seguir o twitter rt pra emocaopositiva obrigar pelar atenção,1
416,  umar guri chamar pra padrinho emocaopositiva,1
417,  uuuuuuuuuuuu gostooooooooooooooooooooooo emocaopositiva,1
418,  o instar emocaopositiva,1
419,flopou hahahaha o bio emocaopositiva,1
420,  hahahaha menino cris querer empenhar n cuidar o rostir :-),1
421,  acabar baixar :-),1
422,  so bocado emocaopositiva,1
423,  exercício parir emagrecer ficar doente emocaopositiva gripar fácil e ótimo resultar,1
424,  caro o e-mail significar amigável principalmente entrar colaborador empresar e cliente o caro pra quebrar o clima chato cliente o gente preciso falar ficar “ pesar ” emocaopositiva gt;&gt;&gt emocaopositiva,1
425,  voltar pra floripa nó n quiosque beira-mar alugar bike kkkk emocaopositiva,1
426,músico ... emocaopositiva,1
427,responder pesquisar ficar feliz emocaopositiva,1
428,identificar o pessoa certo emocaopositiva,1
429,o infância banco imobiliário emocaopositiva,1
430,cabelar cabelo crescer pf emocaopositiva,1
431,amar músico emocaopositiva thevoicebrasil,1
432,beliscar o dedo o fichário emocaopositiva,1
433,finalmente dia lixar ta chegar o o emocaopositiva,1
